Data,Result
0.161594109,0.052703
-0.487813528,0.44519347
-1.622633591,-0.774888455
-1.376504384,-0.548857528
0.194661069,-0.02296263
-0.968300341,0.909526531
0.446232485,0.612362916
-1.044766701,0.828968055
-1.119390083,0.715015799
0.207040417,-0.018695818
-0.991892564,0.896614135
-0.246869556,0.176096462
1.519076714,-1.094567065
1.024932231,0.755915767
-0.872382927,1.094887334
-1.506040237,-0.963860337
-0.695947165,0.757273896
0.581373154,0.619636027
-0.048051487,0.015371245
1.868560022,0.593457679
-1.601060926,-0.928984602
0.157072663,0.208608536
-0.835769065,1.008030215
1.607995087,-0.824117649
1.500564311,-0.765306604
-0.127199889,-0.058363088
-0.452538879,0.499194281
0.66471411,0.820044064
0.060453146,0.0110597
-1.480412508,-0.877786927
0.635332917,0.881241854
-0.780219743,0.930572815
1.523696071,-0.990244871
1.469431026,-0.866398479
0.888160045,0.956015387
-0.212854957,0.081161556
0.306216193,0.091548214
-0.00396146,-0.108995293
0.674664122,0.971023764
0.017044977,-0.083055631
-0.92504044,1.104761617
0.232145172,0.32616766
-0.402618708,0.33772446
-1.077535862,0.601987312
-0.444243673,0.420529386
-1.98937888,0.802992862
-1.370739957,-0.558788843
-0.347603081,0.350235833
0.298538852,0.184699734
1.811188734,0.401502861
-1.435934746,-0.659498401
1.459914814,-0.879157441
-1.094115272,0.651830675
-0.172488996,0.087925994
-1.68257337,-0.59597406
1.333695761,-0.437809264
0.119602401,-0.119406846
0.615936863,0.531139951
-0.506433559,0.385047257
-1.413110889,-0.699646187
-1.398596809,-0.531070793
-1.372873187,-0.652323346
0.594912163,0.661284432
-0.13489813,-0.182663168
-0.841880499,0.798636382
0.753650063,0.875854812
-0.494950266,0.501197784
1.309841046,-0.33157791
1.206671323,0.124915377
-0.728186749,0.849615609
0.929007597,0.859396624
0.280355909,-0.032814033
-0.070299006,0.003350446
-0.968501026,0.826943706
0.56156529,0.662616535
-1.057843469,0.757035724
0.677194553,0.767135861
-1.923595535,0.939968211
-1.624066085,-0.845836051
-1.120686806,0.585815192
-0.589324653,0.703311406
1.256027767,-0.074828503
-1.387966318,-0.792547713
1.433215262,-0.811747105
-0.194132574,-3.08E-05
-0.093486917,-0.049243064
-1.278895614,-0.220500729
-1.965909509,0.824203508
0.209352092,0.181348786
-0.832717938,1.07365067
-1.826215059,0.311485135
1.904282376,0.777237487
0.276879586,0.190544733
1.149095773,0.540385736
-0.152302388,0.05553019
0.443440012,0.600512318
-0.326995362,0.310714625
0.198867138,0.138076814
0.206664344,0.238257638
